rank,skill,count,prev_count,change,pct_change,trend,week_start
1,artificial intelligence,265,36,+229,636.1%,up,2026-07-13
2,business intelligence,113,57,+56,98.2%,up,2026-07-13
3,sql,31,15,+16,106.7%,up,2026-07-13
4,requirements gathering,20,2,+18,900.0%,up,2026-07-13
5,power bi,13,12,+1,8.3%,up,2026-07-13
6,data quality,13,4,+9,225.0%,up,2026-07-13
7,tableau,8,5,+3,60.0%,up,2026-07-13
8,snowflake,7,3,+4,133.3%,up,2026-07-13
9,python,7,4,+3,75.0%,up,2026-07-13
10,databricks,7,6,+1,16.7%,up,2026-07-13
11,data modeling,6,1,+5,500.0%,up,2026-07-13
12,excel,5,2,+3,150.0%,up,2026-07-13
13,etl,5,3,+2,66.7%,up,2026-07-13
14,data pipeline,5,17,-12,-70.6%,down,2026-07-13
15,dashboarding,4,1,+3,300.0%,up,2026-07-13
16,data governance,4,2,+2,100.0%,up,2026-07-13
17,forecasting,4,5,-1,-20.0%,down,2026-07-13
18,stakeholder management,4,n/a,n/a,n/a,new,2026-07-13
19,spark,3,n/a,n/a,n/a,new,2026-07-13
20,kpi,3,1,+2,200.0%,up,2026-07-13
21,jira,3,n/a,n/a,n/a,new,2026-07-13
22,elt,3,1,+2,200.0%,up,2026-07-13
23,experimentation,3,1,+2,200.0%,up,2026-07-13
24,pivot tables,2,n/a,n/a,n/a,new,2026-07-13
25,aws,2,2,0,0.0%,flat,2026-07-13
26,llm,2,n/a,n/a,n/a,new,2026-07-13
27,machine learning,2,13,-11,-84.6%,down,2026-07-13
28,master data management,2,1,+1,100.0%,up,2026-07-13
29,oracle,2,48,-46,-95.8%,down,2026-07-13
30,statistics,2,1,+1,100.0%,up,2026-07-13
31,looker,1,n/a,n/a,n/a,new,2026-07-13
32,azure,1,n/a,n/a,n/a,new,2026-07-13
33,typescript,1,4,-3,-75.0%,down,2026-07-13
34,microsoft fabric,1,2,-1,-50.0%,down,2026-07-13
35,attribution,1,n/a,n/a,n/a,new,2026-07-13
36,pandas,1,n/a,n/a,n/a,new,2026-07-13
37,a/b testing,1,n/a,n/a,n/a,new,2026-07-13
38,git,1,1,0,0.0%,flat,2026-07-13
39,pyspark,1,n/a,n/a,n/a,new,2026-07-13
40,generative ai,1,2,-1,-50.0%,down,2026-07-13
41,redshift,1,n/a,n/a,n/a,new,2026-07-13
42,gcp,1,n/a,n/a,n/a,new,2026-07-13
43,feature engineering,1,1,0,0.0%,flat,2026-07-13
44,dbt,1,2,-1,-50.0%,down,2026-07-13
45,iceberg,1,1,0,0.0%,flat,2026-07-13
46,java,1,2,-1,-50.0%,down,2026-07-13
47,hadoop,1,n/a,n/a,n/a,new,2026-07-13
48,github,1,n/a,n/a,n/a,new,2026-07-13
49,data storytelling,1,n/a,n/a,n/a,new,2026-07-13
