rank,skill,count,four_week_avg,change_vs_avg,pct_change,trend,week_start
1,artificial intelligence,357,291.2,+65.8,22.6%,up,2026-08-31
2,databricks,259,137.5,+121.5,88.4%,up,2026-08-31
3,business intelligence,148,192.8,-44.8,-23.2%,down,2026-08-31
4,sql,95,63.2,+31.8,50.3%,up,2026-08-31
5,data quality,50,27.2,+22.8,83.8%,up,2026-08-31
6,ai agents,48,45.5,+2.5,5.5%,stable,2026-08-31
7,power bi,37,34.0,+3.0,8.8%,stable,2026-08-31
8,data pipeline,29,39.8,-10.8,-27.1%,down,2026-08-31
9,spark,25,18.3,+6.7,36.6%,up,2026-08-31
10,excel,22,12.8,+9.2,71.9%,up,2026-08-31
11,etl,20,13.8,+6.2,44.9%,up,2026-08-31
12,data governance,18,15.2,+2.8,18.4%,stable,2026-08-31
13,data modeling,18,11.8,+6.2,52.5%,up,2026-08-31
14,typescript,18,7.2,+10.8,150.0%,up,2026-08-31
15,machine learning,18,16.5,+1.5,9.1%,stable,2026-08-31
16,snowflake,18,14.5,+3.5,24.1%,stable,2026-08-31
17,tableau,16,19.2,-3.2,-16.7%,stable,2026-08-31
18,python,16,16.0,0.0,0.0%,stable,2026-08-31
19,oracle,15,47.2,-32.2,-68.2%,down,2026-08-31
20,aws,15,9.5,+5.5,57.9%,up,2026-08-31
21,kpi,11,14.2,-3.2,-22.5%,stable,2026-08-31
22,dbt,11,5.8,+5.2,89.7%,up,2026-08-31
23,requirements gathering,10,15.5,-5.5,-35.5%,down,2026-08-31
24,iceberg,10,5.8,+4.2,72.4%,stable,2026-08-31
25,elt,9,3.2,+5.8,181.2%,up,2026-08-31
26,generative ai,8,6.5,+1.5,23.1%,stable,2026-08-31
27,statistics,8,8.8,-0.8,-9.1%,stable,2026-08-31
28,product analytics,8,5.7,+2.3,40.4%,stable,2026-08-31
29,experimentation,8,25.2,-17.2,-68.3%,down,2026-08-31
30,microsoft fabric,8,3.8,+4.2,110.5%,stable,2026-08-31
31,marketing analytics,7,33.7,-26.7,-79.2%,down,2026-08-31
32,postgresql,7,3.0,+4.0,133.3%,stable,2026-08-31
33,forecasting,7,6.5,+0.5,7.7%,stable,2026-08-31
34,azure,6,5.0,+1.0,20.0%,stable,2026-08-31
35,llm,6,4.3,+1.7,39.5%,stable,2026-08-31
36,docker,5,7.0,-2.0,-28.6%,stable,2026-08-31
37,dax,5,3.5,+1.5,42.9%,stable,2026-08-31
38,gcp,5,6.0,-1.0,-16.7%,stable,2026-08-31
39,javascript,5,1.0,+4.0,400.0%,stable,2026-08-31
40,web analytics,4,3.0,+1.0,33.3%,stable,2026-08-31
41,attribution,4,3.3,+0.7,21.2%,stable,2026-08-31
42,classification,4,9.5,-5.5,-57.9%,down,2026-08-31
43,claude,4,4.0,0.0,0.0%,stable,2026-08-31
44,copilot,4,3.0,+1.0,33.3%,stable,2026-08-31
45,feature engineering,4,2.8,+1.2,42.9%,stable,2026-08-31
46,fivetran,4,3.3,+0.7,21.2%,stable,2026-08-31
47,sigma,4,4.5,-0.5,-11.1%,stable,2026-08-31
48,rag,3,3.0,0.0,0.0%,stable,2026-08-31
49,power query,3,1.0,+2.0,200.0%,stable,2026-08-31
50,master data management,3,3.8,-0.8,-21.1%,stable,2026-08-31
51,domo,3,3.0,0.0,0.0%,stable,2026-08-31
52,bigquery,3,2.5,+0.5,20.0%,stable,2026-08-31
53,airflow,3,1.0,+2.0,200.0%,stable,2026-08-31
54,azure synapse,2,1.0,+1.0,100.0%,stable,2026-08-31
55,thoughtspot,2,2.0,0.0,0.0%,stable,2026-08-31
56,pyspark,2,2.3,-0.3,-13.0%,stable,2026-08-31
57,mysql,2,n/a,n/a,n/a,new,2026-08-31
58,mlops,2,2.0,0.0,0.0%,stable,2026-08-31
59,hex,2,1.0,+1.0,100.0%,stable,2026-08-31
60,looker,2,2.0,0.0,0.0%,stable,2026-08-31
61,dashboarding,2,4.2,-2.2,-52.4%,stable,2026-08-31
62,gitlab,2,3.0,-1.0,-33.3%,stable,2026-08-31
63,stakeholder management,2,3.0,-1.0,-33.3%,stable,2026-08-31
64,vector search,1,1.0,0.0,0.0%,stable,2026-08-31
65,hypothesis testing,1,n/a,n/a,n/a,new,2026-08-31
66,kafka,1,1.0,0.0,0.0%,stable,2026-08-31
67,kubernetes,1,1.0,0.0,0.0%,stable,2026-08-31
68,hive,1,n/a,n/a,n/a,new,2026-08-31
69,gpt,1,1.0,0.0,0.0%,stable,2026-08-31
70,gemini,1,2.0,-1.0,-50.0%,stable,2026-08-31
71,pivot tables,1,2.0,-1.0,-50.0%,stable,2026-08-31
72,flink,1,1.0,0.0,0.0%,stable,2026-08-31
73,fine tuning,1,1.0,0.0,0.0%,stable,2026-08-31
74,delta lake,1,1.0,0.0,0.0%,stable,2026-08-31
75,qlik,1,4.0,-3.0,-75.0%,stable,2026-08-31
76,redshift,1,2.0,-1.0,-50.0%,stable,2026-08-31
77,data storytelling,1,3.7,-2.7,-73.0%,stable,2026-08-31
78,scala,1,1.0,0.0,0.0%,stable,2026-08-31
79,clustering,1,17.0,-16.0,-94.1%,down,2026-08-31
80,azure data factory,1,n/a,n/a,n/a,new,2026-08-31
81,aws glue,1,2.0,-1.0,-50.0%,stable,2026-08-31
