rank,skill,count,prev_count,change,pct_change,trend,week_start
1,business intelligence,57,399,-342,-85.7%,down,2026-07-06
2,oracle,48,7,+41,585.7%,up,2026-07-06
3,artificial intelligence,36,204,-168,-82.4%,down,2026-07-06
4,data pipeline,17,27,-10,-37.0%,down,2026-07-06
5,sql,15,74,-59,-79.7%,down,2026-07-06
6,machine learning,13,21,-8,-38.1%,down,2026-07-06
7,power bi,12,74,-62,-83.8%,down,2026-07-06
8,databricks,6,7,-1,-14.3%,down,2026-07-06
9,sas,5,4,+1,25.0%,up,2026-07-06
10,forecasting,5,13,-8,-61.5%,down,2026-07-06
11,tableau,5,34,-29,-85.3%,down,2026-07-06
12,typescript,4,28,-24,-85.7%,down,2026-07-06
13,data quality,4,51,-47,-92.2%,down,2026-07-06
14,python,4,16,-12,-75.0%,down,2026-07-06
15,snowflake,3,19,-16,-84.2%,down,2026-07-06
16,etl,3,23,-20,-87.0%,down,2026-07-06
17,requirements gathering,2,78,-76,-97.4%,down,2026-07-06
18,microsoft fabric,2,10,-8,-80.0%,down,2026-07-06
19,marketing analytics,2,63,-61,-96.8%,down,2026-07-06
20,excel,2,27,-25,-92.6%,down,2026-07-06
21,generative ai,2,3,-1,-33.3%,down,2026-07-06
22,aws,2,8,-6,-75.0%,down,2026-07-06
23,data governance,2,227,-225,-99.1%,down,2026-07-06
24,java,2,4,-2,-50.0%,down,2026-07-06
25,dbt,2,16,-14,-87.5%,down,2026-07-06
26,product analytics,2,8,-6,-75.0%,down,2026-07-06
27,web analytics,1,2,-1,-50.0%,down,2026-07-06
28,fivetran,1,n/a,n/a,n/a,new,2026-07-06
29,delta lake,1,n/a,n/a,n/a,new,2026-07-06
30,data modeling,1,26,-25,-96.2%,down,2026-07-06
31,statistics,1,10,-9,-90.0%,down,2026-07-06
32,classification,1,3,-2,-66.7%,down,2026-07-06
33,feature engineering,1,n/a,n/a,n/a,new,2026-07-06
34,kpi,1,22,-21,-95.5%,down,2026-07-06
35,data lineage,1,4,-3,-75.0%,down,2026-07-06
36,postgresql,1,1,0,0.0%,flat,2026-07-06
37,git,1,n/a,n/a,n/a,new,2026-07-06
38,iceberg,1,n/a,n/a,n/a,new,2026-07-06
39,prefect,1,n/a,n/a,n/a,new,2026-07-06
40,experimentation,1,8,-7,-87.5%,down,2026-07-06
41,dashboarding,1,7,-6,-85.7%,down,2026-07-06
42,airflow,1,2,-1,-50.0%,down,2026-07-06
43,elt,1,3,-2,-66.7%,down,2026-07-06
44,master data management,1,5,-4,-80.0%,down,2026-07-06
