rank,skill,count,four_week_avg,change_vs_avg,pct_change,trend,week_start
1,artificial intelligence,505,327.2,+177.8,54.3%,up,2026-09-21
2,databricks,262,260.2,+1.8,0.7%,stable,2026-09-21
3,llm,174,5.5,+168.5,3063.6%,up,2026-09-21
4,business intelligence,155,127.8,+27.2,21.3%,up,2026-09-21
5,ai agents,62,45.8,+16.2,35.4%,up,2026-09-21
6,sql,49,74.0,-25.0,-33.8%,down,2026-09-21
7,data pipeline,28,30.2,-2.2,-7.3%,stable,2026-09-21
8,gcp,26,10.8,+15.2,140.7%,up,2026-09-21
9,spark,24,23.5,+0.5,2.1%,stable,2026-09-21
10,power bi,22,26.5,-4.5,-17.0%,stable,2026-09-21
11,kpi,17,11.2,+5.8,51.8%,up,2026-09-21
12,requirements gathering,16,7.5,+8.5,113.3%,up,2026-09-21
13,etl,15,16.2,-1.2,-7.4%,stable,2026-09-21
14,machine learning,15,13.8,+1.2,8.7%,stable,2026-09-21
15,data quality,14,27.5,-13.5,-49.1%,down,2026-09-21
16,prefect,14,n/a,n/a,n/a,new,2026-09-21
17,oracle,14,19.0,-5.0,-26.3%,stable,2026-09-21
18,dagster,14,n/a,n/a,n/a,new,2026-09-21
19,data governance,13,12.0,+1.0,8.3%,stable,2026-09-21
20,excel,13,13.5,-0.5,-3.7%,stable,2026-09-21
21,dbt,11,8.2,+2.8,34.1%,stable,2026-09-21
22,python,10,13.5,-3.5,-25.9%,stable,2026-09-21
23,iceberg,10,10.0,0.0,0.0%,stable,2026-09-21
24,azure,9,3.5,+5.5,157.1%,up,2026-09-21
25,tableau,9,15.2,-6.2,-40.8%,down,2026-09-21
26,snowflake,9,13.2,-4.2,-31.8%,stable,2026-09-21
27,experimentation,8,5.0,+3.0,60.0%,stable,2026-09-21
28,dashboarding,8,4.2,+3.8,90.5%,stable,2026-09-21
29,data modeling,8,11.5,-3.5,-30.4%,stable,2026-09-21
30,qlik,7,1.5,+5.5,366.7%,up,2026-09-21
31,aws,6,10.5,-4.5,-42.9%,stable,2026-09-21
32,generative ai,6,6.2,-0.2,-3.2%,stable,2026-09-21
33,claude,5,4.0,+1.0,25.0%,stable,2026-09-21
34,product analytics,5,3.8,+1.2,31.6%,stable,2026-09-21
35,forecasting,5,5.5,-0.5,-9.1%,stable,2026-09-21
36,sigma,5,4.5,+0.5,11.1%,stable,2026-09-21
37,marketing analytics,5,6.2,-1.2,-19.4%,stable,2026-09-21
38,fivetran,5,3.5,+1.5,42.9%,stable,2026-09-21
39,azure synapse,4,1.2,+2.8,233.3%,stable,2026-09-21
40,stakeholder management,4,2.5,+1.5,60.0%,stable,2026-09-21
41,postgresql,4,5.0,-1.0,-20.0%,stable,2026-09-21
42,typescript,4,8.5,-4.5,-52.9%,stable,2026-09-21
43,microsoft fabric,4,5.0,-1.0,-20.0%,stable,2026-09-21
44,domo,4,3.0,+1.0,33.3%,stable,2026-09-21
45,jira,4,1.0,+3.0,300.0%,stable,2026-09-21
46,rag,3,3.0,0.0,0.0%,stable,2026-09-21
47,azure data factory,3,1.0,+2.0,200.0%,stable,2026-09-21
48,copilot,3,3.2,-0.2,-6.2%,stable,2026-09-21
49,master data management,3,3.0,0.0,0.0%,stable,2026-09-21
50,feature engineering,3,3.8,-0.8,-21.1%,stable,2026-09-21
51,regression,3,n/a,n/a,n/a,new,2026-09-21
52,pyspark,2,1.2,+0.8,66.7%,stable,2026-09-21
53,mlops,2,2.0,0.0,0.0%,stable,2026-09-21
54,thoughtspot,2,2.0,0.0,0.0%,stable,2026-09-21
55,airflow,2,1.5,+0.5,33.3%,stable,2026-09-21
56,web analytics,1,4.0,-3.0,-75.0%,stable,2026-09-21
57,fine tuning,1,1.0,0.0,0.0%,stable,2026-09-21
58,flink,1,1.0,0.0,0.0%,stable,2026-09-21
59,delta lake,1,1.0,0.0,0.0%,stable,2026-09-21
60,gemini,1,1.0,0.0,0.0%,stable,2026-09-21
61,gpt,1,1.0,0.0,0.0%,stable,2026-09-21
62,hex,1,1.2,-0.2,-16.7%,stable,2026-09-21
63,dax,1,3.2,-2.2,-68.8%,stable,2026-09-21
64,java,1,2.0,-1.0,-50.0%,stable,2026-09-21
65,kafka,1,1.0,0.0,0.0%,stable,2026-09-21
66,customer analytics,1,1.0,0.0,0.0%,stable,2026-09-21
67,kubernetes,1,1.0,0.0,0.0%,stable,2026-09-21
68,clustering,1,1.0,0.0,0.0%,stable,2026-09-21
69,metadata management,1,n/a,n/a,n/a,new,2026-09-21
70,classification,1,2.5,-1.5,-60.0%,stable,2026-09-21
71,predictive modeling,1,1.0,0.0,0.0%,stable,2026-09-21
72,bigquery,1,1.8,-0.8,-44.4%,stable,2026-09-21
73,sas,1,2.0,-1.0,-50.0%,stable,2026-09-21
74,scala,1,1.0,0.0,0.0%,stable,2026-09-21
75,aws glue,1,1.0,0.0,0.0%,stable,2026-09-21
76,attribution,1,2.5,-1.5,-60.0%,stable,2026-09-21
77,statistics,1,5.8,-4.8,-82.8%,stable,2026-09-21
78,vector search,1,1.0,0.0,0.0%,stable,2026-09-21
79,elt,1,4.3,-3.3,-76.7%,stable,2026-09-21
